id,name
885,41 St & 3 Ave
886,Borden Ave & Review Ave
887,Bay St & Court St
888,Crotona Ave & E Fordham Rd
889,3 Ave & Carroll St
890,39 Dr & 52 St
891,Ditmars Blvd & 19 St
892,Pacific St & Sackman St
893,86 St & 37 Ave
894,53 St & 4 Ave
895,University Ave & W Burnside Ave
896,E 169 St & Webster Ave
897,Bailey Ave & W 193 St
898,Naples Terrace & Godwin Terrace
899,9 Ave & W 204 St
900,Decatur Ave & Oliver Pl
901,Clinton St & Grand St
902,Broadway & W 25 St
903,Boston Rd & E 178 St
904,LaGuardia Pl & W 3 St
905,Broadway & W 38 St
906,43 St & 50 Ave
907,Macon St & Patchen Ave
908,Prospect Pl & 6 Ave
